task_name,task_instance_id,gt_in_prompt,assessable,n_candidates_in_prompt,gt_mentions_model_text,mean_wrong_candidate_mentions,gt_mentions_observations,answer_is_one_of_the_prompt_candidates,never_mentioned,singled_out,gt_in_any_solution_block,extraction_failure,extraction_failure_loose,scoring_artifact_a5a,determinacy_a5c
crispr_delivery,7,True,True,6,15,14.6,0,True,False,True,False,False,False,False,requires_external_knowledge
crispr_delivery,18,True,True,6,22,40.2,3,True,False,False,False,False,False,False,requires_external_knowledge
crispr_delivery,42,True,True,6,8,5.8,1,True,False,True,False,False,False,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,64,True,True,22,20,31.333333333333332,10,True,False,False,False,False,False,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,128,True,True,8,54,80.42857142857143,31,True,False,False,True,False,False,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,379,True,True,8,118,84.14285714285714,63,True,False,True,False,False,False,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,418,True,True,67,9,15.833333333333334,8,True,False,False,False,False,False,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,492,True,True,25,84,15.916666666666666,34,True,False,True,True,True,True,False,requires_external_knowledge
gwas_causal_gene_gwas_catalog,630,True,True,10,33,30.333333333333332,24,True,False,True,False,False,False,False,requires_external_knowledge
gwas_causal_gene_opentargets,47,True,True,23,70,25.545454545454547,23,True,False,True,True,False,False,False,requires_external_knowledge
gwas_causal_gene_pharmaprojects,1463,True,True,50,69,22.040816326530614,9,True,False,True,True,False,False,False,requires_external_knowledge
gwas_causal_gene_pharmaprojects,1645,True,True,33,36,20.03125,11,True,False,True,True,False,False,False,requires_external_knowledge
gwas_variant_prioritization,48,True,True,11,50,20.0,36,True,False,True,True,False,True,False,requires_external_knowledge
gwas_variant_prioritization,87,True,True,11,19,42.8,6,True,False,False,False,False,False,False,requires_external_knowledge
gwas_variant_prioritization,102,True,True,11,26,41.3,7,True,False,False,True,False,True,False,requires_external_knowledge
gwas_variant_prioritization,107,True,True,11,36,10.7,25,True,False,True,True,True,True,False,requires_external_knowledge
gwas_variant_prioritization,130,True,True,11,22,21.0,37,True,False,True,True,False,True,False,requires_external_knowledge
gwas_variant_prioritization,174,True,True,11,11,23.1,18,True,False,False,True,False,True,False,requires_external_knowledge
lab_bench_dbqa,401,True,True,5,0,0.0,0,True,True,False,False,False,False,False,requires_external_knowledge
lab_bench_dbqa,419,True,True,5,0,0.0,0,True,True,False,False,False,False,False,requires_external_knowledge
lab_bench_seqqa,128,True,True,5,0,0.0,0,True,True,False,False,False,False,False,determinate
patient_gene_detection,88,True,True,12,13,15.454545454545455,15,True,False,False,False,False,False,False,requires_external_knowledge
patient_gene_detection,259,True,True,15,10,13.0,11,True,False,False,False,False,False,False,requires_external_knowledge
patient_gene_detection,306,True,True,18,2,3.3529411764705883,8,True,False,False,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,57,False,True,1,39,,5,False,False,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,63,False,True,1,0,,0,False,True,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,87,False,True,1,12,,7,False,False,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,88,False,True,1,22,,6,False,False,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,90,False,True,1,24,,7,False,False,,True,False,False,False,requires_external_knowledge
rare_disease_diagnosis,92,False,True,1,32,,13,False,False,,True,False,False,False,requires_external_knowledge
rare_disease_diagnosis,116,False,True,1,15,,13,False,False,,True,False,False,False,requires_external_knowledge
rare_disease_diagnosis,130,False,True,1,0,,0,False,True,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,136,False,True,1,0,,0,False,True,,False,False,False,False,requires_external_knowledge
rare_disease_diagnosis,140,False,True,1,0,,1,False,True,,False,False,False,False,requires_external_knowledge
screen_gene_retrieval,13,True,True,11,24,11.4,20,True,False,True,False,False,False,False,requires_external_knowledge
screen_gene_retrieval,34,True,True,11,36,48.7,8,True,False,False,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,48,True,True,11,47,37.3,59,True,False,True,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,91,True,True,11,338,48.0,108,True,False,True,True,True,True,False,requires_external_knowledge
screen_gene_retrieval,160,True,True,11,62,60.5,39,True,False,True,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,189,True,True,11,33,39.8,18,True,False,False,False,False,False,False,requires_external_knowledge
screen_gene_retrieval,251,True,True,11,26,24.5,16,True,False,True,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,252,True,True,11,51,67.8,13,True,False,False,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,259,True,True,11,45,38.2,27,True,False,True,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,318,True,True,11,38,62.0,36,True,False,False,True,False,True,False,requires_external_knowledge
screen_gene_retrieval,339,True,True,11,52,43.1,40,True,False,True,False,False,False,False,requires_external_knowledge
