experiment_id,run_id,condition,task_name,global_instance_id,task_instance_id,trajectory_index,split,run_dir,run_present,marker,completed,failure_class,requested_seed,seed_supported,model,model_revision,endpoint,temperature,max_tokens,confidence_mode,timeout_seconds,prompt_hash,final_response_raw_chars,solution_block_status,final_answer_parsed,answer_canonical,answer_parse_status,answer_cluster_key,final_confidence,final_confidence_0_100,confidence_parse_status,wall_time_seconds,started_at,ended_at,error,llm_call_count,total_input_tokens,total_output_tokens,total_tokens,token_usage_available,model_time_seconds,tool_time_seconds,code_execution_count,tool_call_count,unique_tool_count,failed_tool_call_count,failed_tool_call_fraction,repeated_tool_call_count,repeated_tool_call_fraction,retry_count,parse_error_count,exception_count,retrieval_count,generated_chars,message_count,ai_message_count,observation_count,execute_block_count,solution_block_count,parse_error_message_count,visible_plan_step_count,plan_revision_count,finish_reasons,n_events,reward,strict_reward,evaluation_status,evaluation_error,correct
phase2b,gwas_causal_gene_gwas_catalog-i0128-inst-t0-845e8237,instrumented,gwas_causal_gene_gwas_catalog,424,128,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_gwas_catalog/i0128/instrumented/t0,True,COMPLETE,True,,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,7ae3aae35d8af733,7015,ok,APOA1,APOA1,ok,APOA1,0.95,95.0,ok,227.641,1786318409.6164668,1786318637.2679465,,11,73118,8348,81466,True,207.504,2.227,9,0,0,3,0.3333333333333333,0,,0,0,0,1,32641,20,19,9,9,1,0,10,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",47,0.0,0.0,ok,,0
phase2b,gwas_causal_gene_gwas_catalog-i0138-inst-t0-7f3357b2,instrumented,gwas_causal_gene_gwas_catalog,421,138,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_gwas_catalog/i0138/instrumented/t0,True,COMPLETE,True,confidence_parse_failure,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,8a6c102f0d85bed2,5775,ok,SLCO1B1,SLCO1B1,ok,SLCO1B1,,,missing,401.195,1786319293.4275312,1786319694.661692,,28,203976,14286,218262,True,384.356,2.677,26,0,0,17,0.6538461538461539,0,,0,0,0,1,52681,54,53,26,26,1,0,27,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",115,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_gwas_catalog-i0541-inst-t0-0948b17c,instrumented,gwas_causal_gene_gwas_catalog,385,541,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_gwas_catalog/i0541/instrumented/t0,True,COMPLETE,True,,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,db15b28811cd8790,5087,ok,NAT8,NAT8,ok,NAT8,0.98,98.0,ok,262.014,1786320668.058885,1786320930.0846336,,25,377495,9825,387320,True,243.564,3.026,23,2,2,5,0.217391304347826,0,0.0,0,0,0,1,37282,48,47,23,23,1,0,24,,"[""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",107,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_opentargets-i0460-inst-t0-2ccbb8a9,instrumented,gwas_causal_gene_opentargets,357,460,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_opentargets/i0460/instrumented/t0,True,COMPLETE,True,confidence_parse_failure,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,5bf44f882205d5f9,3603,ok,GCKR,GCKR,ok,GCKR,,,missing,200.478,1786322724.205057,1786322924.6945755,,9,120666,6078,126744,True,144.501,43.776,7,2,2,1,0.1428571428571428,0,0.0,0,0,0,1,23199,16,15,7,7,1,0,8,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",43,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_opentargets-i0546-inst-t0-a1ecf87d,instrumented,gwas_causal_gene_opentargets,369,546,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_opentargets/i0546/instrumented/t0,True,FAILED,False,budget_terminated_consecutive_runaway,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,bb3a6e2d0fcef348,0,empty,,,empty,,,,missing,216.421,1786322774.420993,1786322990.851787,BudgetExceeded: trajectory budget exceeded: consecutive_runaway,5,51476,8345,59821,True,197.44,0.91,1,1,1,0,0.0,0,0.0,0,0,1,1,32984,0,0,0,0,0,0,0,,"[""stop"", ""stop"", ""length"", ""length"", ""length""]",25,0.0,0.0,unparseable_answer,,0
phase2b,gwas_causal_gene_opentargets-i0745-inst-t0-5635009a,instrumented,gwas_causal_gene_opentargets,359,745,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_opentargets/i0745/instrumented/t0,True,COMPLETE,True,confidence_parse_failure,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,8c9d7148f771b273,4485,ok,F5,F5,ok,F5,,,missing,215.994,1786323966.6916316,1786324182.693791,,12,65784,8079,73863,True,196.334,6.546,9,4,1,4,0.4444444444444444,3,0.75,0,0,0,1,31184,22,20,9,9,1,1,11,,"[""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",57,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_pharmaprojects-i0821-inst-t0-66e75191,instrumented,gwas_causal_gene_pharmaprojects,224,821,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_pharmaprojects/i0821/instrumented/t0,True,COMPLETE,True,confidence_parse_failure,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,e430e073930e011f,4008,ok,HTR7,HTR7,ok,HTR7,,,missing,489.261,1786324322.2650917,1786324811.5351834,,14,204821,8036,212857,True,206.472,276.208,12,3,3,0,0.0,0,0.0,0,0,0,1,33963,26,25,12,12,1,0,13,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",67,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_pharmaprojects-i1158-inst-t0-525196b6,instrumented,gwas_causal_gene_pharmaprojects,216,1158,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_pharmaprojects/i1158/instrumented/t0,True,COMPLETE,True,confidence_parse_failure,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,1546b0d07b1141e2,5355,ok,NR1H4,NR1H4,ok,NR1H4,,,missing,318.917,1786324582.7482836,1786324901.6842055,,13,138209,10187,148396,True,262.212,42.932,11,5,3,2,0.1818181818181818,2,0.4,0,0,0,1,39609,24,23,11,11,1,0,12,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",66,1.0,1.0,ok,,1
phase2b,gwas_causal_gene_pharmaprojects-i1250-inst-t0-ea06a703,instrumented,gwas_causal_gene_pharmaprojects,232,1250,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_causal_gene_pharmaprojects/i1250/instrumented/t0,True,COMPLETE,True,,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,d2ab28a5d5d1dbee,4182,ok,IL6R,IL6R,ok,IL6R,0.95,95.0,ok,626.172,1786324693.9493325,1786325320.1291397,,57,710248,24032,734280,True,609.923,0.712,55,0,0,54,0.9818181818181818,0,,0,0,0,1,92365,112,111,55,55,1,0,56,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",231,1.0,1.0,ok,,1
phase2b,gwas_variant_prioritization-i0050-inst-t0-03601235,instrumented,gwas_variant_prioritization,6,50,0,val,/scratch/11034/atzanakak/biomni_unc_runs/phase2b/runs/gwas_variant_prioritization/i0050/instrumented/t0,True,COMPLETE,True,,2100,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,5fa25f10473e1a79,2754,ok,rs603424,rs603424,ok,rs603424,1.0,100.0,ok,266.378,1786326640.7665956,1786326907.1567743,,11,115622,8397,124019,True,196.752,58.623,9,1,1,1,0.1111111111111111,0,0.0,0,0,0,1,31460,20,19,9,9,1,0,10,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",50,1.0,1.0,ok,,1
